pwsid,enforcement_actions_36m,formal_actions_60m,informal_actions_60m,penalty_count_60m,recent_enforcement_flag,days_since_last_enforcement,enforcement_risk_component
OH0234512,0,0,0,0,False,12653.0,0
OH0234612,0,0,0,0,False,,0
OH0234712,0,0,0,0,False,,0
OH0234812,0,0,0,0,False,9873.0,0
OH0234912,0,0,0,0,False,,0
OH0235012,0,0,0,0,False,8877.0,0
OH0235112,0,0,0,0,False,,0
OH0235212,0,0,0,0,False,5764.0,0
OH0235312,0,0,0,0,False,6828.0,0
OH0235412,0,0,3,0,False,1368.0,15
OH0235512,0,0,0,0,False,10662.0,0
OH0235612,0,0,0,0,False,7002.0,0
OH0235712,0,0,0,0,False,,0
OH0235812,0,0,0,0,False,,0
OH0235912,0,0,0,0,False,,0
OH0236012,0,0,0,0,False,,0
OH0236112,0,0,0,0,False,10627.0,0
OH0236212,0,0,0,0,False,10721.0,0
OH0236312,0,0,0,0,False,,0
OH0236412,8,0,14,0,True,684.0,100
OH0236512,0,0,0,0,False,,0
OH0236612,0,0,0,0,False,,0
OH0236712,0,0,0,0,False,,0
OH0236812,0,0,0,0,False,,0
OH0236912,0,0,0,0,False,,0
OH0237012,0,0,0,0,False,,0
OH0237112,0,0,0,0,False,10307.0,0
OH0237212,0,0,0,0,False,,0
OH0237312,0,0,0,0,False,,0
OH0237412,0,0,0,0,False,8916.0,0
OH0237512,0,0,0,0,False,,0
OH0237612,0,0,0,0,False,,0
OH0237712,0,0,0,0,False,,0
OH0237812,0,0,0,0,False,,0
OH0237912,0,0,0,0,False,,0
OH0238012,0,0,0,0,False,,0
OH0238112,0,0,0,0,False,10273.0,0
OH0238212,0,0,0,0,False,7659.0,0
OH0238312,0,0,0,0,False,,0
OH0238412,0,0,0,0,False,,0
OH0238512,0,0,0,0,False,,0
OH0238612,0,0,0,0,False,,0
OH0238712,0,0,0,0,False,,0
OH0238812,0,0,0,0,False,,0
OH0238912,0,0,0,0,False,6732.0,0
OH0239012,0,0,0,0,False,,0
OH0239112,0,0,0,0,False,,0
OH0239212,0,0,0,0,False,,0
OH0239312,0,0,0,0,False,7002.0,0
OH0239412,0,0,0,0,False,6428.0,0
OH0239512,0,0,0,0,False,,0
OH0239612,0,0,0,0,False,,0
OH0239712,0,0,0,0,False,12729.0,0
OH0239812,0,0,0,0,False,13312.0,0
OH0239912,0,0,0,0,False,,0
OH0240012,0,0,0,0,False,10734.0,0
OH0240112,0,0,0,0,False,,0
OH0240212,0,0,0,0,False,,0
OH0240312,0,0,0,0,False,,0
OH0240412,0,0,0,0,False,,0
OH0240512,0,0,0,0,False,,0
OH0240612,0,0,0,0,False,,0
OH0240712,0,0,0,0,False,10071.0,0
OH0240812,0,0,0,0,False,,0
OH0240912,0,0,0,0,False,,0
OH0241012,0,0,0,0,False,,0
OH0241112,0,0,0,0,False,,0
OH0241212,0,0,0,0,False,,0
OH0241312,0,0,0,0,False,11198.0,0
OH0241412,0,0,0,0,False,,0
OH0241512,0,0,0,0,False,,0
OH0241612,0,0,0,0,False,,0
OH0241712,0,0,0,0,False,,0
OH0241812,0,5,20,0,False,1181.0,100
OH0241912,0,0,0,0,False,,0
OH0242012,0,0,3,0,False,1617.0,15
OH0242112,0,0,0,0,False,,0
OH0242212,0,0,0,0,False,,0
OH0242312,0,0,0,0,False,,0
OH0242412,0,0,0,0,False,,0
OH0242512,0,0,0,0,False,,0
OH0242612,0,0,0,0,False,,0
OH0242712,6,0,4,0,True,715.0,78
OH0242812,0,0,0,0,False,,0
OH0242912,0,0,0,0,False,,0
OH0243012,0,4,9,0,False,1137.0,100
OH0243112,2,0,6,0,True,1068.0,56
OH0243212,0,0,0,0,False,10812.0,0
OH0243312,0,0,0,0,False,,0
OH0243412,0,0,0,0,False,,0
OH0243512,0,0,0,0,False,,0
OH0243612,0,0,0,0,False,,0
OH0243712,0,0,0,0,False,,0
OH0243812,0,0,0,0,False,7002.0,0
OH0243912,0,0,0,0,False,7002.0,0
OH0244012,0,0,0,0,False,,0
OH0244112,0,0,0,0,False,,0
OH0244212,0,0,0,0,False,,0
OH0244312,0,0,0,0,False,7002.0,0
OH0244412,0,0,0,0,False,12664.0,0
OH0244512,0,0,0,0,False,,0
OH0244612,0,0,0,0,False,6828.0,0
OH0244712,0,0,0,0,False,,0
OH0244812,0,0,0,0,False,,0
OH0244912,0,0,0,0,False,,0
OH0245012,0,0,0,0,False,,0
OH0245112,0,0,0,0,False,,0
OH0245212,0,0,0,0,False,,0
OH0245312,0,0,0,0,False,,0
OH0245412,0,0,0,0,False,,0
OH0245512,0,0,0,0,False,,0
OH0245612,0,0,0,0,False,,0
OH0245712,0,0,0,0,False,,0
OH0245812,0,0,0,0,False,,0
OH0245912,0,0,0,0,False,10927.0,0
OH0246012,0,0,0,0,False,,0
OH0246112,0,0,0,0,False,,0
OH0246212,0,0,0,0,False,,0
OH0246312,0,0,0,0,False,,0
OH0246412,0,0,0,0,False,,0
OH0246512,0,0,0,0,False,,0
OH0246612,0,0,0,0,False,,0
OH0246712,0,0,0,0,False,,0
OH0246812,0,0,0,0,False,,0
OH0246912,0,0,0,0,False,,0
OH0247012,0,0,0,0,False,,0
OH0247112,0,0,0,0,False,,0
OH0247212,0,0,0,0,False,,0
OH0247312,0,0,0,0,False,12875.0,0
OH0247412,0,0,0,0,False,,0
OH0247512,0,0,0,0,False,,0
OH0247612,0,0,0,0,False,,0
OH0247712,0,0,0,0,False,,0
OH0247812,0,0,0,0,False,7002.0,0
OH0247912,0,0,0,0,False,7002.0,0
OH0248012,0,0,0,0,False,,0
OH0248112,0,0,0,0,False,,0
OH0248212,0,0,0,0,False,4904.0,0
OH0248312,0,0,0,0,False,,0
OH0248412,0,0,0,0,False,,0
OH0248512,0,0,0,0,False,,0
OH0248612,0,0,0,0,False,,0
OH0248712,0,0,0,0,False,,0
OH0248812,0,0,0,0,False,,0
OH0248912,0,0,0,0,False,,0
OH0249012,0,0,0,0,False,,0
OH0249112,0,0,0,0,False,,0
OH0249212,0,0,0,0,False,,0
OH0249312,0,0,0,0,False,10672.0,0
