pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH8601312,1,1,1,0,1,0,35.0,354.0,False,True,increasing,36.75
OH8601412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8601512,0,0,0,0,0,0,0.0,6899.0,False,False,stable_or_none,0.0
OH8601612,0,0,0,0,0,0,0.0,8756.0,False,False,stable_or_none,0.0
OH8601712,0,1,3,0,0,0,55.0,654.0,True,False,decreasing,18.75
OH8601812,2,2,2,0,1,0,35.0,209.0,True,True,increasing,41.75
OH8601912,1,1,1,0,1,0,55.0,355.0,True,False,increasing,21.75
OH8602012,0,0,0,0,0,0,0.0,11129.0,False,False,stable_or_none,0.0
OH8602112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8630012,0,0,0,0,0,0,0.0,10763.0,False,False,stable_or_none,0.0
OH8630112,0,0,0,0,0,0,0.0,9486.0,False,False,stable_or_none,0.0
OH8630212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8630312,0,0,0,0,0,0,0.0,7386.0,False,False,stable_or_none,0.0
OH8630412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8630512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8630612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8630712,0,0,0,0,0,0,0.0,10033.0,False,False,stable_or_none,0.0
OH8630812,0,0,0,0,0,0,0.0,11313.0,False,False,stable_or_none,0.0
OH8630912,0,0,0,0,0,0,0.0,9121.0,False,False,stable_or_none,0.0
OH8631012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8631112,0,0,0,0,0,0,0.0,10490.0,False,False,stable_or_none,0.0
OH8631212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8631312,0,0,0,0,0,0,0.0,9212.0,False,False,stable_or_none,0.0
OH8631412,0,0,0,0,0,0,0.0,7203.0,False,False,stable_or_none,0.0
OH8631512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8631612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8631712,0,0,0,0,0,0,0.0,11038.0,False,False,stable_or_none,0.0
OH8631812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8631912,0,0,0,0,0,0,0.0,7203.0,False,False,stable_or_none,0.0
OH8632012,0,0,0,0,0,0,0.0,11678.0,False,False,stable_or_none,0.0
OH8632112,0,0,0,0,0,0,0.0,11678.0,False,False,stable_or_none,0.0
OH8632212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8632312,0,0,0,0,0,0,0.0,7111.0,False,False,stable_or_none,0.0
OH8632412,0,0,0,0,0,0,0.0,5133.0,False,False,stable_or_none,0.0
