pwsid,score_asof,static_only,compliance_asof,enforcement_asof,prior36_violations,prior36_health,outcome,population_served
OH0400512,67.54059622641509,32.1405962264151,100.0,36,8,1,0,85
OH4837612,64.46000000000001,38.06,63.5,49,3,1,0,75
OH4833412,62.285000000000004,38.06,50.75,60,4,0,0,45
OH5143915,73.50456037735849,29.40456037735849,100.0,94,8,0,0,25
OH7257612,74.39558490566037,29.395584905660378,100.0,100,13,1,0,30
OH7258012,74.39558490566037,29.395584905660378,100.0,100,12,0,0,25
OH0401111,74.1405962264151,29.140596226415095,100.0,100,6,0,1,667
OH1200112,68.27857735849057,29.053577358490564,91.75,78,4,0,1,475
OH1204312,74.05357735849057,29.053577358490564,100.0,100,10,7,0,393
OH5734812,73.89578867924529,28.895788679245285,100.0,100,11,0,0,75
OH5740212,64.52078867924529,28.895788679245285,87.75,62,5,0,0,100
OH5748012,66.02078867924529,28.895788679245285,84.75,78,7,0,0,100
OH5702212,57.670788679245284,29.395788679245285,64.75,59,3,0,1,141
OH1240112,36.278577358490566,28.553577358490564,16.75,18,1,0,0,30
OH1245412,28.553577358490564,28.553577358490564,0.0,0,0,0,0,80
OH1248812,73.55357735849057,28.553577358490564,100.0,100,9,0,0,237
OH1251512,43.32857735849056,28.553577358490564,37.75,23,2,0,0,60
OH1253212,73.55357735849057,28.553577358490564,100.0,100,34,2,1,185
OH1631612,28.554905660377358,28.554905660377358,0.0,0,0,0,0,60
OH1638112,53.30490566037736,28.554905660377358,64.5,36,2,2,1,200
OH1638914,37.479905660377355,28.554905660377358,29.75,0,2,0,0,50
OH2548912,73.17799245283018,28.17799245283019,100.0,100,44,0,1,130
OH2570725,36.20299245283019,28.17799245283019,26.75,0,2,0,1,370
OH8702712,50.849000000000004,28.124000000000002,57.75,36,2,0,1,45
OH5002812,50.34213962264151,28.06713962264151,53.75,41,4,0,1,25
OH5747812,66.77078867924529,28.895788679245285,76.75,99,6,0,1,200
OH7200012,66.27058490566037,29.895584905660378,77.75,87,4,0,1,100
OH8749212,72.624,27.624000000000002,100.0,100,64,1,1,30
OH5043422,60.0421396226415,27.56713962264151,66.75,83,5,0,0,225
OH5045512,44.29213962264151,27.56713962264151,37.75,36,2,0,0,30
OH5054512,37.54213962264151,27.56713962264151,21.75,23,1,0,0,36
OH7448612,72.11661132075471,27.116611320754718,100.0,100,13,2,1,136
OH7449112,72.11661132075471,27.116611320754718,100.0,100,8,0,0,152
OH3400312,60.74421509433962,27.069215094339626,78.75,67,5,0,0,82
OH5730912,35.420788679245284,28.895788679245285,21.75,0,1,0,0,145
OH4102903,40.01607641509434,26.44107641509434,31.25,28,1,0,1,481
OH5002112,37.39213962264151,27.56713962264151,32.75,0,2,0,1,31
OH7833012,40.66756981132076,26.342569811320757,29.75,36,2,0,0,50
OH7837112,71.34256981132076,26.342569811320757,100.0,100,15,1,0,124
OH7852912,51.16756981132076,26.342569811320757,59.75,46,4,0,0,25
OH7855612,53.267569811320755,26.342569811320757,67.75,44,4,0,0,30
OH0100112,54.10049245283019,26.125492452830187,62.25,62,4,0,1,2043
OH7000612,71.23241132075472,26.232411320754718,100.0,100,8,6,1,318
OH8100911,55.07299999999999,25.898,47.25,100,2,0,1,405
OH0430712,31.6405962264151,31.6405962264151,0.0,0,0,0,1,65
OH7035812,49.50741132075471,25.732411320754718,54.75,49,3,0,1,50
OH7039612,63.082411320754716,25.732411320754718,100.0,49,15,0,0,38
OH6331112,27.274,27.274,0.0,0,0,0,0,50
OH2502112,67.67799245283018,25.67799245283019,100.0,80,9,5,0,505
OH2570715,33.05299245283019,28.17799245283019,13.75,5,0,0,1,150
OH3300112,43.31567358490567,25.390673584905663,43.25,33,1,0,1,943
OH1541412,68.51423207547171,25.3142320754717,100.0,88,7,0,0,50
OH1556812,59.7392320754717,25.3142320754717,76.25,77,4,1,1,203
OH1557412,70.3142320754717,25.3142320754717,100.0,100,7,1,1,44
OH1557512,35.2892320754717,25.3142320754717,21.75,23,1,0,1,204
OH1558012,70.3142320754717,25.3142320754717,100.0,100,13,2,0,78
OH1558112,70.3142320754717,25.3142320754717,100.0,100,13,3,1,100
OH1559912,70.3142320754717,25.3142320754717,100.0,100,5,0,0,29
OH1565212,70.3142320754717,25.3142320754717,100.0,100,46,0,0,116
OH2547512,61.852992452830186,28.17799245283019,74.75,75,3,0,1,25
OH3200411,70.208,25.208,100.0,100,6,6,1,1527
OH4101803,55.91607641509434,26.44107641509434,61.25,74,3,0,1,417
OH5000912,43.442139622641506,28.06713962264151,28.25,46,2,0,0,58
OH5431412,69.946,24.945999999999998,100.0,100,10,0,0,76
OH5439012,47.521,24.945999999999998,54.75,41,3,0,0,230
OH6300312,63.249,24.774,96.25,64,3,2,1,727
OH2000512,33.882999999999996,27.058,11.25,23,1,0,1,854
OH6945312,59.129,24.704,83.75,62,5,0,1,36
OH6946016,50.579,24.704,57.75,57,4,0,0,52
OH6946018,24.704,24.704,0.0,0,0,0,0,25
OH7400011,63.84161132075471,24.616611320754718,84.25,93,5,1,1,1148
OH7100912,35.70787169811321,24.532871698113212,21.75,31,2,0,1,1032
OH7703212,61.18029433962264,24.505294339622644,84.75,75,5,0,0,68
OH2502912,64.6029924528302,28.67799245283019,83.75,72,5,0,0,217
OH7939212,57.32632075471698,24.401320754716984,75.75,68,4,0,0,60
OH7941512,36.776320754716984,24.401320754716984,29.75,23,2,0,0,40
OH2502212,41.65299245283019,25.67799245283019,39.25,28,1,0,1,3167
OH5300112,37.05558490566038,24.23058490566038,31.25,23,1,0,1,2446
OH5300212,64.95558490566037,24.23058490566038,85.75,100,5,0,1,1800
OH5750618,31.520788679245285,28.895788679245285,6.25,5,0,0,1,125
OH5750619,39.84578867924529,28.895788679245285,22.5,28,0,0,1,95
OH6000303,44.40671226415094,26.481712264150943,43.25,33,1,0,1,266
OH8502312,68.27454433962264,24.099544339622643,97.75,99,7,0,1,425
OH8504912,40.07454433962265,24.099544339622643,39.25,28,1,0,1,55
OH0500603,46.609735849056605,24.034735849056606,52.25,46,2,0,1,859
OH7700039,69.00529433962265,24.005294339622644,100.0,100,8,0,0,25
OH7743712,69.00529433962265,24.005294339622644,100.0,100,13,1,0,108
OH7744712,69.00529433962265,24.005294339622644,100.0,100,9,0,0,200
OH7775912,69.00529433962265,24.005294339622644,100.0,100,22,0,0,200
OH7792112,69.00529433962265,24.005294339622644,100.0,100,18,1,0,100
OH7799927,69.00529433962265,24.005294339622644,100.0,100,6,0,1,50
OH7799945,69.00529433962265,24.005294339622644,100.0,100,61,0,0,55
OH7799970,24.005294339622644,24.005294339622644,0.0,0,0,0,1,100
OH2500512,48.502992452830185,28.17799245283019,39.75,56,2,0,1,74
OH3800112,26.59704528301887,23.97204528301887,6.25,5,0,0,1,200
OH3500312,68.95400000000001,23.954,100.0,100,38,11,1,580
OH7707412,40.730294339622645,24.005294339622644,37.75,36,3,0,0,225
OH0938212,35.30439622641509,23.829396226415096,26.75,23,2,0,0,75
OH0701112,68.59760849056605,23.747608490566037,100.0,99,8,0,1,360
OH8548212,54.72454433962264,23.599544339622643,75.25,57,5,1,0,35
OH8558912,40.32454433962264,23.599544339622643,37.75,36,2,0,1,85
OH3849112,42.74704528301886,23.47204528301887,46.25,36,2,1,1,55
OH3531411,68.45400000000001,23.454,100.0,100,15,13,1,1300
OH4100412,39.716076415094335,23.44107641509434,36.25,36,2,0,1,2000
OH4103112,58.76607641509433,23.44107641509434,76.75,82,4,0,1,1019
OH6946014,24.704,24.704,0.0,0,0,0,1,82
OH3700912,46.292890566037734,25.667890566037734,48.25,41,2,0,1,32
OH3200903,43.358,25.208,42.5,36,0,0,1,564
OH6400812,46.58740377358491,23.262403773584907,50.75,54,4,0,0,50
OH4700603,38.2959679245283,23.220967924528303,29.75,41,2,0,1,2400
OH5600711,56.62116603773585,23.17116603773585,89.5,44,3,2,1,2598
OH8556312,41.07454433962265,23.599544339622643,46.75,23,2,0,0,60
OH2000212,44.882999999999996,23.058,52.25,41,2,0,0,3600
OH4846313,38.06,38.06,0.0,0,0,0,0,206
OH2438212,29.444166037735847,22.91916603773585,21.75,0,1,0,0,105
OH7401212,40.29161132075472,27.616611320754718,26.75,31,2,0,1,128
OH1034112,67.85522358490566,22.855223584905662,100.0,100,12,0,1,82
OH1038612,67.85522358490566,22.855223584905662,100.0,100,17,0,0,64
OH6100403,44.16189056603774,28.18689056603774,39.25,28,1,0,1,279
OH5043412,65.4421396226415,27.56713962264151,91.25,70,6,1,0,225
OH6434312,53.7374037735849,22.762403773584907,82.75,41,4,0,0,80
OH4737516,49.0459679245283,22.720967924528303,61.75,52,4,0,0,570
OH5055017,46.692139622641506,27.56713962264151,45.75,36,3,0,0,300
OH6501512,47.0604,22.8354,57.75,46,2,0,1,400
OH7606012,59.332864150943394,22.507864150943398,89.25,67,4,1,1,325
OH0800411,52.4021320754717,23.077132075471695,57.75,80,5,0,1,309
OH3801012,37.54704528301887,23.97204528301887,31.25,28,1,0,1,197
OH7244912,51.220584905660374,29.395584905660378,49.75,46,2,0,0,83
OH7045412,70.73241132075472,25.732411320754718,100.0,100,10,1,0,75
OH7704012,37.33029433962264,24.505294339622644,31.25,23,1,0,1,120
OH8501012,46.67454433962264,24.099544339622643,52.25,46,2,0,1,120
OH7620312,67.00786415094339,22.007864150943398,100.0,100,11,0,0,50
OH7637412,67.00786415094339,22.007864150943398,100.0,100,9,0,1,202
OH7643912,53.582864150943394,22.007864150943398,74.25,62,4,1,1,105
OH7652912,47.13286415094339,22.007864150943398,63.25,41,2,1,1,35
OH7655312,67.00786415094339,22.007864150943398,100.0,100,21,0,1,130
OH1555312,54.639232075471696,25.3142320754717,66.75,62,5,0,0,78
OH7938312,60.026320754716984,24.401320754716984,83.75,70,7,0,0,40
OH5300512,44.85558490566038,24.23058490566038,48.25,41,2,0,1,826
OH7901312,32.17632075471698,21.901320754716984,16.25,36,2,0,1,2220
OH5055020,27.56713962264151,27.56713962264151,0.0,0,0,0,1,50
OH5137812,74.4045603773585,29.40456037735849,100.0,100,9,1,0,50
OH5800712,71.44558490566038,26.44558490566038,100.0,100,8,1,0,70
OH7650322,60.6328641509434,22.007864150943398,91.25,75,5,1,0,224
OH6740612,39.54727169811321,21.772271698113208,34.75,49,3,0,0,154
OH6762612,44.79727169811321,21.772271698113208,54.75,44,4,0,0,144
OH6785812,21.772271698113208,21.772271698113208,0.0,0,0,0,0,101
OH4830712,45.335,38.06,21.75,5,1,0,1,100
OH0444312,41.6155962264151,31.6405962264151,21.75,23,1,0,0,49
OH0445312,41.6155962264151,31.6405962264151,21.75,23,1,0,0,49
OH7448512,72.11661132075471,27.116611320754718,100.0,100,13,0,0,153
OH3400412,72.06921509433963,27.069215094339626,100.0,100,8,0,0,400
OH7803911,68.84256981132076,23.842569811320757,100.0,100,10,5,0,908
OH7843512,36.46756981132076,26.342569811320757,28.75,10,0,0,0,101
OH7032912,70.73241132075472,25.732411320754718,100.0,100,19,0,0,25
OH7850412,60.16756981132075,26.342569811320757,84.25,57,4,1,1,168
OH1235812,58.62857735849056,28.553577358490564,75.75,49,4,0,0,50
OH4234512,50.534577358490566,21.209577358490566,70.75,54,3,0,0,75
OH1552912,42.489232075471705,25.3142320754717,41.75,31,2,0,1,495
OH0735612,23.247608490566037,23.247608490566037,0.0,0,0,0,0,30
OH7002012,61.10741132075472,26.232411320754718,85.25,62,4,1,1,69
OH1637412,28.554905660377358,28.554905660377358,0.0,0,0,0,1,120
OH0251912,54.521,35.846000000000004,46.75,31,2,0,0,66
OH4505512,54.59567830188679,20.770678301886793,72.75,80,6,0,0,465
OH0700612,32.522608490566036,20.747608490566037,34.25,10,0,0,0,2830
OH1565512,36.7892320754717,25.3142320754717,26.75,23,2,0,0,111
OH6500312,40.4604,22.8354,35.75,46,2,0,1,148
OH4602012,63.47124716981132,20.64624716981132,92.75,100,6,0,1,300
OH3500512,68.95400000000001,23.954,100.0,100,10,9,0,1150
OH6774312,21.772271698113208,21.772271698113208,0.0,0,0,0,0,60
OH0434712,56.1655962264151,31.6405962264151,39.75,84,2,0,0,125
OH0446312,47.315596226415096,31.6405962264151,26.75,51,1,0,1,75
OH1558712,25.3142320754717,25.3142320754717,0.0,0,0,0,0,85
OH2400612,65.41916603773585,20.41916603773585,100.0,100,7,0,1,1356
OH1000112,43.905223584905656,20.355223584905662,62.0,33,1,1,1,1200
OH5038712,27.56713962264151,27.56713962264151,0.0,0,0,0,0,52
OH6201003,63.325,24.1,88.75,84,3,0,1,3110
OH4545712,40.74567830188679,20.270678301886793,45.25,46,2,0,0,103
OH4567625,47.64567830188679,20.270678301886793,70.75,41,4,0,0,56
OH6402703,65.26240377358491,20.262403773584907,100.0,100,8,0,1,1802
OH3400811,49.04421509433962,24.069215094339626,62.75,41,3,0,1,984
OH1544212,42.0392320754717,25.3142320754717,37.75,36,2,0,0,145
OH6501812,38.8104,22.8354,41.75,23,2,0,1,330
OH5001812,36.692139622641506,28.06713962264151,26.25,5,0,0,1,50
OH5750512,48.32078867924528,28.895788679245285,46.75,36,2,0,0,75
OH3001212,52.016293396226416,20.066293396226413,56.5,100,2,0,1,5104
OH3400214,22.694215094339626,20.069215094339626,6.25,5,0,0,1,3353
OH0501214,45.0847358490566,20.034735849056606,60.5,46,2,1,1,6656
OH4101003,32.36607641509434,23.44107641509434,29.75,0,2,0,1,896
OH6100303,43.861890566037744,25.18689056603774,43.25,38,1,0,1,1989
OH1601312,37.67990566037736,29.054905660377358,26.25,5,0,0,1,45
OH2230411,29.568200943396228,26.943200943396228,6.25,5,0,0,1,150
OH6765812,38.49727169811321,21.772271698113208,37.75,36,2,0,1,78
OH4901312,55.70199905660377,19.776999056603774,83.75,72,4,0,0,395
OH3634412,60.16802641509434,24.54302641509434,87.75,62,5,0,0,136
OH1900912,19.592571698113208,19.592571698113208,0.0,0,0,0,1,892
OH6001411,64.48171226415094,19.481712264150943,100.0,100,11,10,1,6540
OH4901512,51.50199905660378,19.776999056603774,74.75,62,4,0,0,27
OH7430612,27.116611320754718,27.116611320754718,0.0,0,0,0,1,60
OH4837812,72.63499999999999,38.06,84.25,62,4,1,0,50
OH3401312,40.04421509433963,24.069215094339626,39.25,28,1,0,1,763
OH4942412,37.951999056603775,19.276999056603774,46.75,31,2,0,1,80
OH8635512,68.24027264150943,25.865272641509435,99.75,83,6,0,0,106
OH2600111,60.42,19.17,100.0,75,6,6,1,7568
OH3300312,38.96567358490566,25.390673584905663,28.75,33,0,0,1,1354
OH7769912,59.03029433962264,24.005294339622644,74.75,84,4,0,0,100
OH7856321,26.342569811320757,26.342569811320757,0.0,0,0,0,0,165
OH2302212,27.684554716981133,19.059554716981133,28.75,0,0,0,0,100
OH6430512,22.762403773584907,22.762403773584907,0.0,0,0,0,1,25
OH1632312,28.554905660377358,28.554905660377358,0.0,0,0,0,0,100
OH7799938,64.43029433962263,24.005294339622644,95.75,78,6,0,0,100
OH7258512,36.67058490566038,29.395584905660378,21.75,5,1,0,0,100
OH5046212,38.29213962264151,27.56713962264151,21.75,28,1,0,0,100
OH5046912,27.56713962264151,27.56713962264151,0.0,0,0,0,0,60
OH2303103,42.13455471698113,19.559554716981133,52.25,46,2,0,1,357
OH7439812,58.54161132075472,27.116611320754718,72.25,65,4,1,0,43
OH1250012,59.82857735849056,28.553577358490564,75.75,57,4,0,0,130
OH0500112,53.6597358490566,27.034735849056606,56.75,64,3,0,0,255
OH4634612,46.071247169811315,20.64624716981132,57.75,54,3,0,1,30
OH7663912,36.0328641509434,22.007864150943398,41.75,10,1,0,1,100
OH7856315,26.342569811320757,26.342569811320757,0.0,0,0,0,0,50
OH4502812,20.770678301886793,20.770678301886793,0.0,0,0,0,1,53
OH3900312,34.17834716981132,20.75334716981132,26.75,36,2,0,1,1476
OH0346121,53.69447547169811,18.294475471698114,100.0,36,24,0,0,1056
OH8200512,36.49395094339623,22.918950943396226,31.25,28,1,0,1,360
OH1100412,42.030865094339624,18.555865094339623,48.75,59,3,0,0,120
OH6600712,53.855728301886785,26.030728301886793,60.75,64,3,0,0,2181
OH6755212,59.79727169811321,21.772271698113208,95.75,62,5,0,0,100
OH0442812,59.7655962264151,31.6405962264151,62.75,62,4,0,0,30
OH1538712,39.1892320754717,25.3142320754717,33.75,25,0,0,0,120
OH7449712,72.11661132075471,27.116611320754718,100.0,100,13,0,0,150
OH7939012,59.42632075471698,24.401320754716984,66.75,100,5,0,0,40
OH4500212,32.24567830188679,20.770678301886793,26.75,23,2,0,0,65
OH7951724,24.401320754716984,24.401320754716984,0.0,0,0,0,0,25
OH7765212,43.43029433962265,24.005294339622644,46.75,36,2,0,0,50
OH4800112,51.385000000000005,38.56,31.25,23,1,0,0,327
OH7605712,34.432864150943395,19.507864150943398,38.25,23,1,1,1,928
OH8401112,44.328374528301886,19.803374528301887,56.25,51,2,0,1,770
OH3100012,32.516652830188676,23.89165283018868,26.25,5,0,0,1,900
OH7601912,60.0828641509434,22.507864150943398,85.25,80,7,0,0,440
OH2501812,34.30299245283019,25.67799245283019,26.25,5,0,0,1,1600
OH5750620,28.895788679245285,28.895788679245285,0.0,0,0,0,1,72
OH5750621,28.895788679245285,28.895788679245285,0.0,0,0,0,1,85
OH5750622,28.895788679245285,28.895788679245285,0.0,0,0,0,1,68
OH3139512,62.81665283018867,26.89165283018868,83.75,72,6,0,0,123
OH6503412,35.510400000000004,22.8354,26.75,31,2,0,1,293
OH6900711,45.729,18.204,41.75,100,0,0,1,4393
OH7835412,66.16756981132076,26.342569811320757,95.25,75,5,1,0,180
OH7800212,39.81756981132076,26.842569811320757,26.75,33,1,0,0,25
OH5500612,57.73626415094339,17.311264150943394,84.75,100,6,0,1,487
OH3501203,48.329,26.954,48.25,46,2,0,0,450
OH4565512,53.8706783018868,17.270678301886793,93.5,57,4,3,1,900
OH0700511,49.022608490566036,20.747608490566037,60.75,67,3,0,1,1382
OH2636212,47.495000000000005,25.67,54.75,36,3,0,0,40
OH2834812,62.19241886792453,17.19241886792453,100.0,100,8,0,0,130
OH2854812,62.19241886792453,17.19241886792453,100.0,100,27,1,0,200
OH2865612,54.767418867924526,17.19241886792453,91.75,67,5,0,0,200
OH2866312,62.19241886792453,17.19241886792453,100.0,100,22,4,0,100
OH7725512,60.08029433962264,24.005294339622644,78.25,84,4,1,0,100
OH7900612,30.526320754716984,21.901320754716984,26.25,5,0,0,1,2147
OH0600312,45.04366320754717,24.118663207547172,46.75,46,2,0,0,45
OH7662112,44.2828641509434,22.007864150943398,61.75,25,1,0,0,162
OH5439712,69.946,24.945999999999998,100.0,100,9,0,0,37
OH2567312,40.55299245283019,28.17799245283019,29.75,23,2,0,0,85
OH4838112,54.785,38.06,37.75,36,2,0,0,80
OH2801312,36.36741886792453,17.69241886792453,48.25,28,2,0,1,202
OH7943212,43.82632075471699,24.401320754716984,46.75,36,2,0,0,60
OH5750212,49.520788679245285,28.895788679245285,54.75,28,3,0,0,150
OH5545812,48.83626415094339,16.811264150943394,75.75,62,4,0,1,200
OH1252712,38.528577358490566,28.553577358490564,21.75,23,1,0,0,125
OH4100003,51.26607641509433,23.44107641509434,56.75,72,5,0,0,820
OH0701516,61.74760849056604,16.747608490566037,100.0,100,11,0,1,5097
OH7843212,26.342569811320757,26.342569811320757,0.0,0,0,0,0,84
OH7799966,24.005294339622644,24.005294339622644,0.0,0,0,0,0,42
OH4337419,37.3627320754717,18.0877320754717,54.25,20,1,1,1,398
OH4602112,40.22124716981132,17.64624716981132,52.25,46,2,0,1,551
OH4000003,36.83507547169812,24.010075471698116,31.25,23,1,0,1,663
OH8300212,35.17715849056604,16.50215849056604,44.25,36,2,0,1,175
OH8344312,61.50215849056604,16.50215849056604,100.0,100,168,1,1,100
OH1249112,35.07857735849056,28.553577358490564,21.75,0,1,0,0,225
OH6400912,31.287403773584906,20.262403773584907,13.75,46,1,0,1,1706
OH7735412,24.005294339622644,24.005294339622644,0.0,0,0,0,0,75
OH0600912,29.743663207547172,21.118663207547172,26.25,5,0,0,1,831
OH8504412,69.09954433962264,24.099544339622643,100.0,100,8,1,1,450
OH7800812,58.94256981132076,26.842569811320757,84.0,46,3,1,0,99
OH4932812,64.27699905660377,19.276999056603774,100.0,100,69,0,0,426
OH7721512,50.18029433962264,24.005294339622644,62.75,49,3,0,1,72
OH7786612,68.18029433962263,24.005294339622644,97.25,100,6,2,0,30
OH6400411,55.11240377358491,16.262403773584907,100.0,59,6,3,1,5161
OH7002914,42.857411320754714,16.232411320754718,63.25,51,2,1,1,51000
OH7101212,37.95787169811321,20.032871698113212,43.25,33,1,0,1,9000
OH4636412,65.14624716981132,20.14624716981132,100.0,100,7,0,0,200
OH7799922,29.030294339622642,24.005294339622644,16.75,0,1,0,0,75
OH1638917,28.554905660377358,28.554905660377358,0.0,0,0,0,1,25
OH5055026,52.9921396226415,27.56713962264151,62.75,44,3,0,0,185
OH6702412,53.39727169811321,22.272271698113208,67.75,72,4,0,1,231
OH0233112,55.42100000000001,35.846000000000004,45.75,39,3,0,0,75
OH8540112,23.599544339622643,23.599544339622643,0.0,0,0,0,0,45
OH2570717,40.45299245283019,28.67799245283019,34.25,10,0,0,1,266
OH7843312,50.71756981132076,26.342569811320757,63.25,36,2,1,1,110
OH8100611,59.848,15.898,100.0,93,6,5,1,10846
OH5001911,56.39213962264151,21.06713962264151,73.25,89,5,0,0,6058
OH6501712,27.3104,15.8354,21.75,33,1,0,1,3376
OH7257212,29.395584905660378,29.395584905660378,0.0,0,0,0,0,248
OH1502911,56.6142320754717,15.8142320754717,100.0,72,6,0,1,10300
OH6830812,60.81064528301887,15.810645283018868,100.0,100,8,0,0,40
OH2566312,59.90299245283019,28.17799245283019,78.75,54,4,0,0,55
OH5401112,62.571,22.445999999999998,83.75,100,6,0,0,1120
OH1934112,67.0925716981132,22.092571698113208,100.0,100,6,0,0,75
OH0254612,78.671,35.846000000000004,92.75,100,6,0,0,100
OH7937712,43.82632075471699,24.401320754716984,46.75,36,2,0,0,100
OH6900112,56.179,22.204,74.75,77,3,0,0,2137
OH2501003,21.67799245283019,21.67799245283019,0.0,0,0,0,1,8575
OH2301112,61.55955471698113,16.559554716981133,100.0,100,6,0,1,1573
OH3135312,67.31665283018867,26.89165283018868,91.75,86,5,0,0,100
OH4846317,38.06,38.06,0.0,0,0,0,1,200
OH5244412,15.396037735849056,15.396037735849056,0.0,0,0,0,0,25
OH7400112,24.616611320754718,24.616611320754718,0.0,0,0,0,1,692
OH2352712,19.059554716981133,19.059554716981133,0.0,0,0,0,0,150
OH1563012,63.039232075471695,25.3142320754717,90.75,70,6,0,0,90
OH4837712,55.385000000000005,38.06,46.25,23,2,1,0,310
OH5735512,28.895788679245285,28.895788679245285,0.0,0,0,0,0,50
OH5735812,28.895788679245285,28.895788679245285,0.0,0,0,0,0,40
OH5739612,70.52078867924529,28.895788679245285,88.75,100,7,0,0,40
OH4000111,38.98507547169812,20.010075471698116,46.75,33,1,0,1,9691
OH7736212,54.08029433962264,24.005294339622644,70.75,59,3,0,0,102
OH3300612,48.91567358490566,21.390673584905663,71.25,41,2,1,0,8360
OH1134912,42.505865094339626,15.055865094339623,72.5,38,2,2,1,675
OH7950312,60.32632075471698,24.401320754716984,83.75,72,4,0,0,425
OH6500712,44.0604,22.8354,41.25,59,3,0,0,62
OH5300012,36.20558490566038,20.23058490566038,39.25,28,1,0,1,6663
OH2876936,35.86741886792453,17.19241886792453,46.75,31,2,0,1,500
OH1400912,30.132075471698116,18.657075471698114,16.25,44,2,0,1,2564
OH1943512,22.092571698113208,22.092571698113208,0.0,0,0,0,0,220
OH8555212,42.27454433962264,23.599544339622643,41.75,41,2,0,0,150
OH7700812,65.33029433962264,24.005294339622644,87.75,100,4,0,1,25
OH0236412,70.721,35.846000000000004,76.25,80,4,1,0,38
OH4901612,61.77699905660377,16.776999056603774,100.0,100,8,1,0,655
OH1502812,22.8142320754717,22.8142320754717,0.0,0,0,0,1,801
OH7799924,33.53029433962264,24.005294339622644,21.75,20,0,0,1,45
OH5702812,22.395788679245285,22.395788679245285,0.0,0,0,0,1,8361
OH0902912,38.504396226415096,24.329396226415096,26.75,41,2,0,0,247
OH4602712,49.97124716981132,20.64624716981132,62.75,70,4,0,1,98
OH3200512,28.208,28.208,0.0,0,0,0,0,488
OH5750616,25.895788679245285,25.895788679245285,0.0,0,0,0,1,3216
OH7855912,49.81756981132075,26.342569811320757,62.75,31,3,0,0,57
OH7762612,31.505294339622644,24.005294339622644,22.5,5,0,0,1,50
OH6502112,36.5604,19.8354,39.25,33,1,0,1,1999
OH7401412,49.44161132075472,27.616611320754718,54.75,36,2,0,0,65
OH7444012,72.11661132075471,27.116611320754718,100.0,100,11,0,0,233
OH8000412,49.1631858490566,14.438185849056604,79.75,72,4,0,1,2316
OH2876924,62.19241886792453,17.19241886792453,100.0,100,11,0,0,100
OH0100503,22.125492452830187,22.125492452830187,0.0,0,0,0,1,3670
OH0700912,60.87260849056604,20.747608490566037,87.75,92,6,0,0,803
OH5131512,35.92956037735849,29.40456037735849,21.75,0,1,0,0,165
OH6900212,67.20400000000001,22.204,100.0,100,26,0,0,1153
OH7500112,41.7619,20.3869,48.25,46,2,0,0,375
OH4642012,62.89624716981132,20.14624716981132,92.5,100,3,1,0,40
OH0254915,45.071000000000005,35.846000000000004,21.75,18,1,0,0,100
OH7640412,66.70786415094341,22.007864150943398,100.0,98,6,0,0,224
OH0400611,37.7655962264151,29.140596226415095,26.25,5,0,0,0,1764
OH5441312,24.945999999999998,24.945999999999998,0.0,0,0,0,0,51
OH7240212,48.82058490566038,29.395584905660378,46.75,36,2,0,0,37
OH2001203,75.05799999999999,30.058,100.0,100,9,8,0,268
OH2001403,75.05799999999999,30.058,100.0,100,9,8,0,40
OH3740522,34.09289056603773,25.167890566037734,29.75,0,2,0,0,75
OH3300212,41.365673584905664,25.390673584905663,39.25,28,1,0,0,875
OH1000512,31.83022358490566,23.355223584905662,16.75,23,1,0,1,100
OH1901112,19.592571698113208,19.592571698113208,0.0,0,0,0,1,578
OH3034312,39.391293396226416,26.566293396226413,29.75,26,2,0,0,200
OH6400111,45.08740377358491,20.262403773584907,59.75,46,4,0,0,2534
OH8400612,52.87837452830188,19.803374528301887,71.75,77,4,0,1,1582
OH7635012,22.007864150943398,22.007864150943398,0.0,0,0,0,1,112
OH7799921,47.33029433962264,24.005294339622644,54.75,46,2,0,0,100
OH0500003,43.45973584905661,24.034735849056606,46.75,36,2,0,1,901
OH0241812,80.846,35.846000000000004,100.0,100,8,0,0,65
OH0243012,58.871,35.846000000000004,49.75,54,3,0,0,182
OH0800811,63.727132075471694,20.077132075471695,100.0,91,6,2,0,2428
OH4101203,46.316076415094344,26.44107641509434,54.75,23,3,0,0,340
OH6734412,50.947271698113205,21.772271698113208,79.25,36,3,2,1,25
OH4801012,38.56,38.56,0.0,0,0,0,0,100
OH3101812,42.96665283018868,20.39165283018868,52.25,46,2,0,0,9506
OH6943312,24.704,24.704,0.0,0,0,0,1,120
OH7835912,45.767569811320755,26.342569811320757,46.75,36,2,0,0,241
OH6045813,70.98171226415094,25.981712264150943,100.0,100,7,0,0,25
OH3800712,29.59704528301887,20.97204528301887,26.25,5,0,0,1,950
OH7945812,62.42632075471698,24.401320754716984,79.75,94,6,0,0,30
OH2802612,49.79241886792453,17.69241886792453,80.0,54,3,1,1,217
OH1041512,22.855223584905662,22.855223584905662,0.0,0,0,0,0,40
OH8562212,25.099544339622643,23.599544339622643,0.0,10,0,0,1,175
OH2567512,54.352992452830186,28.17799245283019,62.75,49,3,0,0,50
OH8701712,44.54900000000001,25.124000000000002,44.25,41,2,0,0,1326
OH1500811,22.6392320754717,15.8142320754717,11.25,23,1,0,0,12586
OH2501612,49.15299245283019,28.67799245283019,39.75,57,4,0,0,188
