pwsid,enforcement_actions_36m,formal_actions_60m,informal_actions_60m,penalty_count_60m,recent_enforcement_flag,days_since_last_enforcement,enforcement_risk_component
OH0238012,0,0,0,0,False,,0
OH0238112,0,0,0,0,False,10274,0
OH0238212,0,0,0,0,False,7660,0
OH0238312,0,0,0,0,False,,0
OH0238412,0,0,0,0,False,,0
OH0238512,0,0,0,0,False,,0
OH0238612,0,0,0,0,False,,0
OH0238712,0,0,0,0,False,,0
OH0238812,0,0,0,0,False,,0
OH0238912,0,0,0,0,False,6733,0
OH0239012,0,0,0,0,False,,0
OH0239112,0,0,0,0,False,,0
OH0239212,0,0,0,0,False,,0
OH0239312,0,0,0,0,False,7003,0
OH0239412,0,0,0,0,False,6429,0
OH0239512,0,0,0,0,False,,0
OH0239612,0,0,0,0,False,,0
OH0239712,0,0,0,0,False,12730,0
OH0239812,0,0,0,0,False,13313,0
OH0239912,0,0,0,0,False,,0
OH0240012,0,0,0,0,False,10735,0
OH0240112,0,0,0,0,False,,0
OH0240212,0,0,0,0,False,,0
OH0240312,0,0,0,0,False,,0
OH0240412,0,0,0,0,False,,0
OH0240512,0,0,0,0,False,,0
OH0240612,0,0,0,0,False,,0
OH0240712,0,0,0,0,False,10072,0
OH0240812,0,0,0,0,False,,0
OH0240912,0,0,0,0,False,,0
OH0241012,0,0,0,0,False,,0
OH0241112,0,0,0,0,False,,0
OH0241212,0,0,0,0,False,,0
OH0241312,0,0,0,0,False,11199,0
OH0241412,0,0,0,0,False,,0
OH0241512,0,0,0,0,False,,0
OH0241612,0,0,0,0,False,,0
OH0241712,0,0,0,0,False,,0
OH0241812,0,5,20,0,False,1182,100
OH0241912,0,0,0,0,False,,0
OH0242012,0,0,3,0,False,1618,15
OH0242112,0,0,0,0,False,,0
OH0242212,0,0,0,0,False,,0
OH0242312,0,0,0,0,False,,0
OH0242412,0,0,0,0,False,,0
OH0242512,0,0,0,0,False,,0
OH0242612,0,0,0,0,False,,0
OH0242712,6,0,4,0,True,716,78
OH0242812,0,0,0,0,False,,0
OH0242912,0,0,0,0,False,,0
OH0243012,0,4,9,0,False,1138,100
OH0243112,2,0,6,0,True,1069,56
OH0243212,0,0,0,0,False,10813,0
OH0243312,0,0,0,0,False,,0
OH0243412,0,0,0,0,False,,0
OH0243512,0,0,0,0,False,,0
OH0243612,0,0,0,0,False,,0
OH0243712,0,0,0,0,False,,0
OH0243812,0,0,0,0,False,7003,0
OH0243912,0,0,0,0,False,7003,0
OH0244012,0,0,0,0,False,,0
OH0244112,0,0,0,0,False,,0
OH0244212,0,0,0,0,False,,0
OH0244312,0,0,0,0,False,7003,0
OH0244412,0,0,0,0,False,12665,0
OH0244512,0,0,0,0,False,,0
OH0244612,0,0,0,0,False,6829,0
OH0244712,0,0,0,0,False,,0
OH0244812,0,0,0,0,False,,0
OH0244912,0,0,0,0,False,,0
OH0245012,0,0,0,0,False,,0
OH0245112,0,0,0,0,False,,0
OH0245212,0,0,0,0,False,,0
OH0245312,0,0,0,0,False,,0
OH0245412,0,0,0,0,False,,0
OH0245512,0,0,0,0,False,,0
OH0245612,0,0,0,0,False,,0
OH0245712,0,0,0,0,False,,0
OH0245812,0,0,0,0,False,,0
OH0245912,0,0,0,0,False,10928,0
OH0246012,0,0,0,0,False,,0
OH0246112,0,0,0,0,False,,0
OH0246212,0,0,0,0,False,,0
OH0246312,0,0,0,0,False,,0
OH0246412,0,0,0,0,False,,0
OH0246512,0,0,0,0,False,,0
OH0246612,0,0,0,0,False,,0
OH0246712,0,0,0,0,False,,0
OH0246812,0,0,0,0,False,,0
OH0246912,0,0,0,0,False,,0
OH0247012,0,0,0,0,False,,0
OH0247112,0,0,0,0,False,,0
OH0247212,0,0,0,0,False,,0
OH0247312,0,0,0,0,False,12876,0
OH0247412,0,0,0,0,False,,0
OH0247512,0,0,0,0,False,,0
OH0247612,0,0,0,0,False,,0
OH0247712,0,0,0,0,False,,0
OH0247812,0,0,0,0,False,7003,0
OH0247912,0,0,0,0,False,7003,0
OH0248012,0,0,0,0,False,,0
OH0248112,0,0,0,0,False,,0
OH0248212,0,0,0,0,False,4905,0
OH0248312,0,0,0,0,False,,0
OH0248412,0,0,0,0,False,,0
OH0248512,0,0,0,0,False,,0
OH0248612,0,0,0,0,False,,0
OH0248712,0,0,0,0,False,,0
OH0248812,0,0,0,0,False,,0
OH0248912,0,0,0,0,False,,0
OH0249012,0,0,0,0,False,,0
OH0249112,0,0,0,0,False,,0
OH0249212,0,0,0,0,False,,0
OH0249312,0,0,0,0,False,10673,0
OH0249412,0,0,0,0,False,13857,0
OH0249512,0,0,0,0,False,,0
OH0249612,0,0,0,0,False,10239,0
OH0249712,0,0,0,0,False,,0
OH0249812,0,0,0,0,False,5276,0
OH0249912,0,0,0,0,False,10177,0
OH0250012,0,0,0,0,False,,0
OH0250112,0,0,0,0,False,,0
OH0250212,0,0,0,0,False,,0
OH0250312,0,0,0,0,False,,0
OH0250412,0,0,0,0,False,,0
OH0250512,0,0,0,0,False,,0
OH0250612,0,0,0,0,False,,0
OH0250712,0,0,0,0,False,,0
OH0250812,0,0,0,0,False,,0
OH0250912,0,0,0,0,False,,0
OH0251012,0,0,0,0,False,11657,0
OH0251112,0,0,0,0,False,7003,0
OH0251212,0,0,0,0,False,,0
OH0251312,0,0,0,0,False,5401,0
OH0251422,0,0,0,0,False,,0
OH0251512,0,0,0,0,False,10607,0
OH0251612,0,0,0,0,False,15286,0
OH0251712,0,0,0,0,False,6897,0
OH0251812,0,0,0,0,False,10847,0
OH0251912,5,2,6,0,True,704,100
OH0252012,0,0,0,0,False,7003,0
OH0252112,0,0,0,0,False,,0
OH0252212,4,0,3,0,True,297,57
OH0252312,0,0,0,0,False,13760,0
OH0252412,0,0,0,0,False,7991,0
OH0252512,0,0,0,0,False,10721,0
OH0252612,0,0,0,0,False,13201,0
OH0252712,0,0,0,0,False,12639,0
OH0252812,0,0,0,0,False,6899,0
OH0252912,0,0,0,0,False,4245,0
OH0253012,0,0,0,0,False,10383,0
OH0253112,0,0,0,0,False,,0
OH0253212,0,0,0,0,False,9424,0
OH0253312,0,0,0,0,False,10142,0
OH0253412,0,0,0,0,False,,0
OH0253512,0,0,3,0,False,1618,15
OH0253612,0,0,0,0,False,7003,0
OH0253712,0,0,0,0,False,,0
OH0253812,0,0,0,0,False,4882,0
OH0253912,0,0,0,0,False,,0
OH0254012,0,0,0,0,False,,0
OH0254112,0,0,0,0,False,,0
OH0254212,0,0,6,0,False,1395,30
OH0254312,0,0,0,0,False,6368,0
OH0254412,0,0,0,0,False,6173,0
OH0254512,0,0,0,0,False,5976,0
OH0254612,2,1,8,0,True,969,82
OH0254712,0,0,0,0,False,2377,0
OH0254912,4,0,3,0,True,312,57
OH0254913,0,0,0,0,False,3975,0
OH0254914,0,0,4,0,False,1329,20
OH0254915,5,1,6,0,True,697,96
OH0254916,0,0,0,0,False,2761,0
OH0254917,0,0,0,0,False,,0
OH0254918,0,0,0,0,False,,0
OH0254919,0,0,0,0,False,,0
OH0254920,0,0,0,0,False,,0
OH0254924,0,0,0,0,False,,0
OH0300012,0,0,0,0,False,,0
OH0300112,2,0,2,0,True,243,36
OH0300212,0,0,0,0,False,5952,0
OH0300312,0,0,0,0,False,6932,0
OH0300411,0,0,0,0,False,5891,0
OH0300512,3,0,4,0,True,193,54
OH0300612,0,0,0,0,False,16651,0
OH0300712,0,0,0,0,False,4134,0
OH0300812,0,0,0,0,False,2372,0
OH0300912,0,0,0,0,False,6918,0
OH0301012,8,0,10,0,True,291,100
OH0301112,0,0,2,0,False,1396,10
OH0301212,5,0,5,0,True,243,75
OH0301312,5,0,3,0,True,613,65
OH0301412,0,0,0,0,False,,0
OH0301512,0,0,0,0,False,2754,0
OH0330012,0,0,0,0,False,,0
OH0330112,0,0,0,0,False,2124,0
OH0330212,0,0,0,0,False,10616,0
OH0330312,0,0,0,0,False,,0
OH0330412,0,0,0,0,False,,0
OH0330512,0,0,0,0,False,,0
OH0330612,0,0,0,0,False,,0
OH0330712,0,0,0,0,False,,0
OH0330812,0,0,0,0,False,,0
OH0330912,0,0,0,0,False,7003,0
OH0331012,0,0,0,0,False,,0
OH0331112,0,0,0,0,False,,0
OH0331212,0,0,0,0,False,11297,0
OH0331312,0,0,0,0,False,7003,0
OH0331412,0,0,0,0,False,10463,0
OH0331512,0,0,0,0,False,,0
OH0331612,0,0,0,0,False,,0
OH0331712,0,0,0,0,False,,0
OH0331812,0,0,0,0,False,,0
OH0331912,0,0,0,0,False,9389,0
OH0332012,0,0,0,0,False,,0
OH0332112,0,0,0,0,False,,0
OH0332212,0,0,0,0,False,11297,0
OH0332312,0,0,0,0,False,10902,0
OH0332408,0,0,0,0,False,,0
OH0332512,0,0,0,0,False,,0
OH0332612,0,0,3,0,False,1560,15
OH0332712,0,0,0,0,False,,0
OH0332812,0,0,0,0,False,,0
OH0332908,0,0,0,0,False,,0
OH0333012,0,0,0,0,False,,0
OH0333112,0,0,0,0,False,5882,0
OH0333212,0,0,0,0,False,,0
OH0333311,0,0,0,0,False,,0
OH0333412,0,0,0,0,False,,0
OH0333512,0,0,0,0,False,,0
OH0333612,0,0,0,0,False,,0
OH0333712,0,0,0,0,False,,0
OH0333812,0,0,0,0,False,13129,0
OH0333912,0,0,0,0,False,,0
OH0334012,0,0,0,0,False,,0
OH0334112,0,0,0,0,False,12666,0
OH0334212,0,0,0,0,False,,0
OH0334312,0,0,0,0,False,10177,0
OH0334412,0,0,0,0,False,,0
OH0334512,0,0,0,0,False,,0
OH0334612,0,0,0,0,False,4868,0
OH0334712,0,0,0,0,False,8342,0
OH0334812,0,0,0,0,False,4443,0
OH0334912,0,0,0,0,False,10909,0
OH0335012,4,0,3,0,True,286,57
OH0335112,0,0,0,0,False,,0
OH0335212,0,0,0,0,False,10909,0
OH0335312,0,0,0,0,False,,0
OH0335412,0,0,0,0,False,,0
OH0335512,0,0,0,0,False,7751,0
OH0335612,0,0,0,0,False,9916,0
OH0335712,0,0,0,0,False,,0
OH0335812,0,0,0,0,False,9285,0
OH0335912,0,0,0,0,False,2257,0
OH0336012,0,0,0,0,False,,0
OH0336111,0,0,0,0,False,11567,0
OH0336112,0,0,0,0,False,,0
OH0336212,0,0,0,0,False,10616,0
OH0336312,0,0,0,0,False,4443,0
OH0336412,0,0,0,0,False,9063,0
OH0336512,0,0,0,0,False,8920,0
OH0336612,0,0,0,0,False,3155,0
OH0336712,0,0,0,0,False,,0
OH0336812,0,0,0,0,False,,0
OH0336912,4,0,3,0,True,731,57
OH0337012,4,0,3,0,True,731,57
OH0337112,0,0,0,0,False,10681,0
OH0337212,0,0,0,0,False,,0
OH0337312,0,0,0,0,False,5592,0
OH0337412,0,0,0,0,False,2015,0
OH0337512,0,0,0,0,False,,0
OH0337612,0,0,0,0,False,,0
OH0337712,0,0,0,0,False,10813,0
OH0337812,0,0,0,0,False,,0
OH0337912,0,0,0,0,False,,0
OH0338012,0,0,0,0,False,,0
OH0338122,0,0,0,0,False,10909,0
OH0338212,0,0,0,0,False,4904,0
OH0338312,0,0,0,0,False,,0
OH0338412,8,0,7,0,True,368,100
OH0338512,0,0,0,0,False,7003,0
OH0338612,0,0,0,0,False,3194,0
OH0338712,0,0,0,0,False,7908,0
OH0338812,0,0,0,0,False,,0
OH0338911,0,0,0,0,False,,0
OH0339012,0,0,0,0,False,7003,0
OH0339112,0,0,0,0,False,,0
OH0339212,0,0,0,0,False,,0
OH0339312,0,0,0,0,False,,0
OH0339412,0,0,0,0,False,,0
OH0339512,4,0,6,0,True,767,72
OH0339612,0,0,0,0,False,,0
OH0339712,0,0,0,0,False,1913,0
OH0339812,0,0,0,0,False,,0
OH0339912,0,0,0,0,False,10806,0
OH0340012,0,0,0,0,False,15252,0
OH0340112,0,0,0,0,False,,0
OH0340212,0,0,0,0,False,,0
OH0340312,0,0,0,0,False,2377,0
OH0340512,0,0,0,0,False,7003,0
OH0340612,0,0,0,0,False,,0
OH0340712,0,0,0,0,False,4965,0
OH0340812,0,0,0,0,False,10183,0
OH0340912,0,0,0,0,False,7003,0
OH0341012,0,0,0,0,False,7003,0
OH0341112,0,0,0,0,False,7003,0
OH0341212,0,0,0,0,False,6107,0
OH0341312,0,0,0,0,False,,0
OH0341412,0,0,0,0,False,,0
OH0341512,0,0,0,0,False,10824,0
OH0341612,0,0,0,0,False,10674,0
OH0341712,0,0,0,0,False,,0
OH0341812,0,0,0,0,False,3922,0
OH0341912,0,0,0,0,False,,0
OH0342012,0,0,0,0,False,5563,0
OH0342112,0,0,0,0,False,,0
OH0342212,0,0,0,0,False,5156,0
OH0342312,0,0,0,0,False,14432,0
OH0342412,0,0,0,0,False,13004,0
OH0342512,0,0,0,0,False,,0
OH0342612,0,0,0,0,False,,0
OH0342712,0,0,0,0,False,,0
OH0342812,10,2,9,0,True,620,100
OH0342912,0,0,0,0,False,13129,0
OH0343012,0,0,0,0,False,,0
OH0343112,0,0,0,0,False,2771,0
OH0343212,0,0,0,0,False,11188,0
OH0343312,0,0,0,0,False,11188,0
OH0343412,0,0,0,0,False,11350,0
OH0343512,0,0,0,0,False,7003,0
OH0343612,0,0,0,0,False,4828,0
OH0343708,0,0,0,0,False,,0
OH0343812,0,0,0,0,False,13297,0
OH0343912,0,0,0,0,False,,0
OH0344012,0,0,0,0,False,11093,0
OH0344112,0,0,0,0,False,,0
OH0344113,0,0,0,0,False,,0
OH0344312,8,0,6,0,True,356,100
OH0344412,0,0,0,0,False,8634,0
OH0344512,0,0,0,0,False,,0
OH0344612,0,0,0,0,False,3330,0
OH0344712,0,0,0,0,False,,0
OH0344812,0,0,0,0,False,,0
OH0344912,0,0,0,0,False,9092,0
OH0345012,0,0,0,0,False,,0
OH0345112,0,0,0,0,False,7003,0
OH0345212,0,0,0,0,False,,0
OH0345312,0,0,0,0,False,3330,0
OH0345412,0,0,0,0,False,1930,0
OH0345512,4,0,7,0,True,242,77
OH0345612,0,0,0,0,False,7003,0
OH0345712,0,0,0,0,False,,0
OH0345912,0,1,3,0,False,1620,31
OH0346012,0,0,0,0,False,,0
OH0346112,0,0,0,0,False,4518,0
OH0346114,0,0,0,0,False,,0
OH0346115,0,0,0,0,False,,0
OH0346116,0,0,0,0,False,1937,0
OH0346117,0,0,0,0,False,,0
OH0346118,0,0,3,0,False,1404,15
OH0346119,4,0,3,0,True,264,57
OH0346120,0,0,0,0,False,,0
OH0346121,19,1,13,0,True,599,100
OH0400012,2,0,4,0,True,186,46
OH0400112,0,0,0,0,False,6498,0
OH0400212,3,0,3,0,True,724,49
OH0400312,0,0,0,0,False,10267,0
OH0400314,0,0,0,0,False,14193,0
OH0400411,2,0,5,0,True,243,51
OH0400512,13,1,19,0,True,228,100
OH0400611,8,0,6,0,True,243,100
OH0400711,1,0,1,0,True,892,23
OH0400803,2,0,2,0,True,228,36
OH0400811,0,0,0,0,False,13387,0
OH0400911,0,0,0,0,False,,0
OH0401012,0,0,0,0,False,2084,0
OH0401111,30,0,32,0,True,304,100
OH0401212,0,0,0,0,False,6470,0
OH0401312,0,0,0,0,False,6355,0
OH0401412,0,0,0,0,False,10497,0
OH0401512,0,0,0,0,False,4982,0
OH0401712,3,0,3,0,True,243,49
OH0401812,0,0,0,0,False,,0
OH0430012,0,0,0,0,False,4148,0
OH0430112,0,0,0,0,False,,0
OH0430212,0,0,0,0,False,,0
OH0430312,0,0,0,0,False,10498,0
OH0430412,0,0,0,0,False,,0
OH0430512,0,0,0,0,False,,0
OH0430612,0,0,0,0,False,,0
OH0430712,11,0,11,0,True,363,100
OH0430812,0,0,0,0,False,,0
OH0430912,0,0,0,0,False,,0
OH0431012,0,0,0,0,False,,0
OH0431112,0,0,0,0,False,,0
OH0431212,0,0,0,0,False,8497,0
OH0431312,0,0,0,0,False,,0
OH0431412,0,0,0,0,False,,0
OH0431512,0,0,0,0,False,,0
OH0431612,0,0,0,0,False,1850,0
OH0431712,0,0,0,0,False,2000,0
OH0431812,0,0,0,0,False,1850,0
